obj,rel,sbj
101,3,69
69,3,43
26,3,19
99,3,11
91,3,17
58,3,28
38,3,2
72,3,70
83,3,36
92,3,56
92,3,0
73,3,66
35,3,22
99,3,4
96,3,68
67,3,53
64,3,42
60,3,38
66,3,59
40,3,26
102,3,69
60,3,25
69,3,62
103,3,56
65,3,4
56,3,0
73,3,53
88,3,15
94,3,49
59,3,35
73,3,45
100,3,42
32,3,15
60,3,11
72,3,31
36,3,24
49,3,21
64,3,0
35,3,16
78,3,21
59,3,22
67,3,12
40,3,31
86,3,43
65,3,10
46,3,39
75,3,43
18,3,14
88,3,66
78,3,22
44,3,28
100,3,49
17,3,8
5,3,4
67,3,0
45,3,42
94,3,89
65,3,11
13,3,9
28,3,19
96,3,42
18,3,9
54,3,10
96,3,94
15,3,12
14,3,11
99,3,95
100,3,7
68,3,24
37,3,35
63,3,61
94,3,36
79,3,32
24,3,0
78,3,33
35,3,17
98,3,73
97,3,30
77,3,42
62,3,18
62,3,60
69,3,34
75,3,63
52,3,24
88,3,17
92,3,36
85,3,54
59,3,49
97,3,62
66,3,35
100,3,22
75,3,13
48,3,0
42,3,27
58,3,41
31,3,19
34,3,5
68,3,33
99,3,61
80,3,2
37,3,33
75,3,62
60,3,13
95,3,80
58,3,20
96,3,89
39,3,11
29,3,15
35,3,15
73,3,36
72,3,19
96,3,90
48,3,6
90,3,59
80,3,38
92,3,7
94,3,21
101,3,65
102,3,60
94,3,52
88,3,45
94,3,7
63,3,2
67,3,37
59,3,29
100,3,68
62,3,39
75,3,34
35,3,21
53,3,7
84,3,61
74,3,40
79,3,33
33,3,15
41,3,11
96,3,52
90,3,70
87,3,83
37,3,29
74,3,61
98,3,64
92,3,17
74,3,41
35,3,32
31,3,25
26,3,20
100,3,79
96,3,77
53,3,36
82,3,37
68,3,29
102,3,46
82,3,81
55,3,41
98,3,21
101,3,40
96,3,21
74,3,26
8,3,7
50,3,44
87,3,6
43,3,4
65,3,13
49,3,12
44,3,20
100,3,16
58,3,23
67,3,7
89,3,12
58,3,40
100,3,45
68,3,59
98,3,59
64,3,29
49,3,3
100,3,96
42,3,24
94,3,17
94,3,1
44,3,9
97,3,43
20,3,11
49,3,29
74,3,20
62,3,4
60,3,4
91,3,88
57,3,51
33,3,7
89,3,3
89,3,59
61,3,11
98,3,45
69,3,61
34,3,30
90,3,42
42,3,29
57,3,34
49,3,24
66,3,3
73,3,68
101,3,2
14,3,2
85,3,47
100,3,21
94,3,29
70,3,59
46,3,14
73,3,33
101,3,74
85,3,80
51,3,5
99,3,10
57,3,4
42,3,15
40,3,10
90,3,3
22,3,15
95,3,43
12,3,1
94,3,66
45,3,32
17,3,15
37,3,0
99,3,30
12,3,7
39,3,30
102,3,75
66,3,33
75,3,2
72,3,27
98,3,1
99,3,51
94,3,64
52,3,33
64,3,1
88,3,0
77,3,59
36,3,17
100,3,33
83,3,82
66,3,15
45,3,7
17,3,1
97,3,61
98,3,66
37,3,1
68,3,21
73,3,15
67,3,1
100,3,32
39,3,2
44,3,19
55,3,31
41,3,13
62,3,61
64,3,37
31,3,13
77,3,21
27,3,16
99,3,63
26,3,9
78,3,42
92,3,47
95,3,5
44,3,40
84,3,5
77,3,7
90,3,21
98,3,68
65,3,46
27,3,19
32,3,22
47,3,6
57,3,11
79,3,16
53,3,17
101,3,20
57,3,2
94,3,78
63,3,62
74,3,13
102,3,4
55,3,50
101,3,11
52,3,1
37,3,15
97,3,5
62,3,13
87,3,5
77,3,67
49,3,27
96,3,45
100,3,64
66,3,0
85,3,51
77,3,16
31,3,28
69,3,11
49,3,33
94,3,37
78,3,12
94,3,33
14,3,5
67,3,33
98,3,15
57,3,30
75,3,51
41,3,20
62,3,51
103,3,0
85,3,4
46,3,40
28,3,9
97,3,4
77,3,66
99,3,97
94,3,22
66,3,32
91,3,81
65,3,18
98,3,79
84,3,4
100,3,67
95,3,38
52,3,7
48,3,36
91,3,6
88,3,56
83,3,37
21,3,15
80,3,39
89,3,24
100,3,35
96,3,24
83,3,0
88,3,35
85,3,84
97,3,69
98,3,24
90,3,78
44,3,23
62,3,46
75,3,74
38,3,30
98,3,29
85,3,43
96,3,78
50,3,27
79,3,49
95,3,57
88,3,48
56,3,53
42,3,32
45,3,15
67,3,24
66,3,7
64,3,7
101,3,38
101,3,18
42,3,33
99,3,38
25,3,20
68,3,12
90,3,49
49,3,32
42,3,3
64,3,12
86,3,47
41,3,18
27,3,22
95,3,34
82,3,6
75,3,10
57,3,43
77,3,45
77,3,33
43,3,30
19,3,9
28,3,20
88,3,68
96,3,66
31,3,20
80,3,43
102,3,51
13,3,2
84,3,54
68,3,49
95,3,30
86,3,6
84,3,30
98,3,3
32,3,29
58,3,18
65,3,40
36,3,32
95,3,65
61,3,41
93,3,56
11,3,10
101,3,60
77,3,70
68,3,15
26,3,23
84,3,38
84,3,63
79,3,70
95,3,69
31,3,9
86,3,81
36,3,15
